Date,Open,Close,High,Low
2025-05-28,64700,60800,65100,60500
2025-05-27,58000,62000,62100,57900
2025-05-26,56200,58200,58900,55000
2025-05-23,50600,54200,54400,49800
2025-05-22,48450,48550,49500,48250
2025-05-21,47700,48950,49450,47100
2025-05-20,45900,46750,47100,45100
2025-05-19,44500,45500,45900,44350
2025-05-16,43600,44600,45000,43500
2025-05-15,43050,43450,43950,42750
2025-05-14,44050,43700,44450,43450
2025-05-13,43700,43500,43950,42650
2025-05-12,42400,44200,44300,42300
2025-05-09,42950,41200,42950,41100
2025-05-08,43200,42700,43500,42100
2025-05-07,40350,43000,43150,40200
2025-05-02,41800,40800,41950,39850
2025-04-30,41200,41600,41900,40750
2025-04-29,41350,41150,41650,40700
2025-04-28,39500,41150,41650,39450
2025-04-25,40500,39350,40500,39350
2025-04-24,38550,40000,40100,38200
2025-04-23,38650,38450,39050,38400
2025-04-22,38550,38300,39050,38050
2025-04-21,39350,39000,39550,38700
2025-04-18,39300,39350,39850,38650
2025-04-17,38350,39250,39250,38200
2025-04-16,39250,38600,39650,38450
2025-04-15,38400,39500,39700,38300
2025-04-14,37900,38600,38700,37450
2025-04-11,37200,38200,38200,36900
2025-04-10,36550,37800,37800,36000
2025-04-09,35850,35850,36300,35450
2025-04-08,35000,36200,36200,34800
2025-04-07,35000,34550,35450,33950
2025-04-04,35700,35700,36150,35150
2025-04-03,35100,35900,36000,34900
2025-04-02,36200,35700,36300,35400
2025-04-01,36250,36400,36500,35500
2025-03-31,34550,35950,36200,34250
2025-03-28,35000,34700,35000,33950
2025-03-27,34200,34700,35100,34050
2025-03-26,34950,34450,35000,34000
2025-03-25,33800,34850,35500,33750
2025-03-24,33700,33350,33850,33200
2025-03-21,33550,34200,34450,33300
2025-03-20,34100,33950,34200,33400
2025-03-19,33750,33800,34200,33700
2025-03-18,32950,33550,33600,32900
2025-03-17,32700,32950,33000,31650
2025-03-14,32500,32600,33000,32350
2025-03-13,33800,32300,33900,32250
2025-03-12,34350,33700,35000,33450
2025-03-11,35000,34000,35700,33875
2025-03-10,35650,35900,36050,34900
2025-03-07,35200,35650,36500,34800
2025-03-06,35400,35250,35700,35100
2025-03-05,33700,35250,35400,33600
2025-03-04,33150,33250,33700,32700
2025-02-28,34850,33500,34900,33500
2025-02-27,35450,35250,35900,34950
2025-02-26,34600,35500,35850,34550
2025-02-25,35200,34450,36300,33050
2025-02-24,35300,35300,35700,34400
2025-02-21,35700,35300,35900,35000
2025-02-20,36150,35650,36150,34750
2025-02-19,37400,36200,37400,35950
2025-02-18,34450,37000,37550,34200
2025-02-17,34900,34200,35100,33950
2025-02-14,34400,34600,35000,33800
2025-02-13,33000,33750,34200,33000
2025-02-12,32050,32300,32650,31600
2025-02-11,32200,32700,33000,32100
2025-02-10,32150,32000,32750,31700
2025-02-07,31600,32400,32800,31300
2025-02-06,30750,31600,31800,30500
2025-02-05,30850,30450,31050,30200
2025-02-04,31100,30900,31600,30650
2025-02-03,30650,30800,31050,29800
2025-01-31,30600,31050,31350,30150
2025-01-24,30000,31500,31500,29700
2025-01-23,29000,29700,30600,28950
2025-01-22,26200,28450,28450,25850
2025-01-21,26350,26100,26500,25850
2025-01-20,26400,26350,26500,26100
2025-01-17,26850,26600,26850,26200
2025-01-16,26200,26850,26850,26050
2025-01-15,26250,25900,26450,25750
2025-01-14,26250,26050,26250,25750
2025-01-13,26550,26250,26550,25900
2025-01-10,25350,26650,26700,25350
2025-01-09,25800,25300,25900,25200
2025-01-08,26050,25900,26250,25850
2025-01-07,25950,26200,26400,25850
2025-01-06,25900,25900,26000,25600
2025-01-03,25300,25850,25950,25250
2025-01-02,25500,25450,25750,25350
2024-12-30,25400,25400,25900,25400
2024-12-27,25600,25500,25850,25200
2024-12-26,26200,25750,26250,25700
2024-12-24,26000,26000,26200,25950
2024-12-23,25900,26100,26200,25800
2024-12-20,25950,25800,26250,25550
2024-12-19,25600,25850,26050,25450
2024-12-18,25850,26050,26200,25650
2024-12-17,25900,25800,26100,25800
2024-12-16,26350,25850,26450,25850
2024-12-13,25500,26200,26200,25500
2024-12-12,25650,25600,25850,25350
2024-12-11,25150,25450,25550,25150
2024-12-10,24200,25350,25500,24200
2024-12-09,25150,24100,25200,24100
2024-12-06,25650,25700,26200,25100
2024-12-05,26700,25750,26850,25750
2024-12-04,27300,26650,27450,26450
2024-12-03,27550,27800,27950,27450
2024-12-02,27600,27400,27750,27350
2024-11-29,28450,27450,28450,27400
2024-11-28,28250,28250,28600,27800
2024-11-27,27550,28250,28850,27550
2024-11-26,27650,27400,27900,27100
2024-11-25,28400,27400,28700,27400
2024-11-22,28350,28300,28800,28200
2024-11-21,28200,28200,28500,27850
2024-11-20,28200,28150,28400,28100
2024-11-19,28950,28250,29050,28150
2024-11-18,28450,28950,29300,28350
2024-11-15,28800,28900,29000,28250
2024-11-14,28350,28800,28800,28100
2024-11-13,28950,28350,29450,28250
2024-11-12,28700,28700,29500,28100
2024-11-11,29450,28700,29600,28650
2024-11-08,28850,29250,29500,28850
2024-11-07,29500,28700,29500,27900
2024-11-06,29650,29500,29650,28550
2024-11-05,28200,29200,29200,28200
2024-11-04,28100,28100,28200,27850
2024-11-01,27800,28100,28150,27600
2024-10-31,28100,27900,28100,27850
2024-10-30,28500,28250,28550,28200
2024-10-29,28550,28500,28600,28150
2024-10-28,27850,28550,28600,27850
2024-10-25,28200,28050,28350,27800
2024-10-24,28500,28350,28600,28350
2024-10-23,29250,28500,29300,28200
2024-10-22,29700,29200,29800,29100
2024-10-21,30300,29950,30300,29900
2024-10-18,30300,30150,30300,29750
2024-10-17,29750,30150,30450,29750
2024-10-16,29900,29650,29900,29400
2024-10-15,30300,29900,30300,29850
2024-10-14,29950,30100,30150,29800
2024-10-11,30350,29900,30600,29850
2024-10-10,30700,30200,30850,30150
2024-10-08,30150,30400,30600,30050
2024-10-07,30100,30100,30300,29800
2024-10-04,30200,30050,30350,30000
2024-10-02,30250,30300,30700,30000
2024-09-30,30900,30500,31050,30500
2024-09-27,31200,30750,31200,30600
2024-09-26,30700,31200,31200,30650
2024-09-25,31250,30600,31300,30600
2024-09-24,30600,31050,31050,30450
2024-09-23,30950,30550,31000,30300
2024-09-20,31450,30950,31450,30700
2024-09-19,31600,31150,31800,30800
2024-09-13,30850,31250,31350,30800
2024-09-12,30150,30700,30800,29950
