Date,Open,Close,High,Low
2025-03-20,204500,202500,205000,201500
2025-03-19,201000,204000,204000,199000
2025-03-18,199500,200500,202000,199300
2025-03-17,198400,199000,199000,195300
2025-03-14,199800,198500,200500,197500
2025-03-13,199300,201000,201000,196200
2025-03-12,195800,198200,198200,195000
2025-03-11,194500,195600,196000,192700
2025-03-10,196600,197400,198600,195200
2025-03-07,194800,196600,197200,194100
2025-03-06,199200,197600,201000,196500
2025-03-05,191800,194700,197000,191800
2025-03-04,190000,190300,195100,189200
2025-02-28,198600,193000,198800,193000
2025-02-27,200500,200500,201000,199300
2025-02-26,203500,205000,207000,203000
2025-02-25,205000,202500,205000,202000
2025-02-24,204000,207000,207000,203500
2025-02-21,209000,206000,211000,204000
2025-02-20,202500,203000,204000,201500
2025-02-19,198900,204000,204500,198800
2025-02-18,200000,200500,201500,198900
2025-02-17,201000,199800,202500,199500
2025-02-14,208000,206000,210000,205500
2025-02-13,202500,208500,210000,202000
2025-02-12,199000,198100,200500,198100
2025-02-11,199500,199400,202500,198500
2025-02-10,199500,199400,201000,197700
2025-02-07,203500,200500,204500,200000
2025-02-06,206000,203500,207000,203000
2025-02-05,201500,204500,206500,201000
2025-02-04,205000,201000,208500,201000
2025-02-03,201000,202000,203500,200000
2025-01-31,204500,206000,207500,200000
2025-01-24,208000,205000,208500,203000
2025-01-23,208000,209000,213500,205500
2025-01-22,207500,208500,210000,206500
2025-01-21,210500,206500,213000,206500
2025-01-20,211000,208500,212000,207500
2025-01-17,217500,211500,218000,211000
2025-01-16,223000,219000,224000,218000
2025-01-15,222000,220500,224000,220500
2025-01-14,221000,222000,224500,219500
2025-01-13,225500,220000,226000,218500
2025-01-10,215000,226000,227000,215000
2025-01-09,215000,213000,219500,213000
2025-01-08,209500,213500,215500,209000
2025-01-07,211500,211000,214000,210500
2025-01-06,213000,211500,213500,207000
2025-01-03,211500,213000,215000,211000
2025-01-02,212000,211500,216000,210500
2024-12-30,213500,212000,217000,212000
2024-12-27,217000,215000,217500,213500
2024-12-26,217500,217500,219500,215000
2024-12-24,215000,216500,217000,213000
2024-12-23,212500,215000,216500,212000
2024-12-20,210500,210500,211500,206000
2024-12-19,213000,212000,214000,210500
2024-12-18,207500,216500,217000,207500
2024-12-17,210000,206500,212500,205500
2024-12-16,215500,211000,216000,210500
2024-12-13,212000,215000,216000,209000
2024-12-12,210500,211500,213000,209500
2024-12-11,208000,209000,211000,207500
2024-12-10,205500,210500,211500,204000
2024-12-09,201000,201000,203000,200000
2024-12-06,203500,203500,206000,200000
2024-12-05,209000,204500,210500,204000
2024-12-04,208500,209000,213000,207000
2024-12-03,218000,214500,218000,213500
2024-12-02,219500,216000,220500,215000
2024-11-29,219000,218500,220000,214500
2024-11-28,224000,219000,225000,218000
2024-11-27,220000,221000,226500,218500
2024-11-26,218000,223500,224500,216500
2024-11-25,219000,219000,221500,216500
2024-11-22,216000,217000,218500,214500
2024-11-21,218500,215500,219500,215500
2024-11-20,213000,218500,220500,212500
2024-11-19,217000,215500,219000,213000
2024-11-18,206000,217000,218000,206000
2024-11-15,200000,206000,208500,199900
2024-11-14,200500,201500,203500,197300
2024-11-13,206000,199900,206000,199900
2024-11-12,213000,207000,213500,206500
2024-11-11,203500,211000,212500,203500
2024-11-08,209500,203500,210500,202500
2024-11-07,203500,207500,210500,201000
2024-11-06,214000,206500,214500,205500
2024-11-05,214000,215000,215500,211500
2024-11-04,215000,216500,220500,214000
2024-11-01,212500,213500,216500,211500
2024-10-31,220500,215000,221500,215000
2024-10-30,223000,220500,225000,220500
2024-10-29,226000,224000,226500,221000
2024-10-28,226000,226500,229000,224000
2024-10-25,226500,225500,231000,220500
2024-10-24,241000,228500,241000,228000
2024-10-23,236500,241000,243000,234000
2024-10-22,236000,234500,239000,232500
2024-10-21,235000,237000,240000,234500
2024-10-18,237000,234500,239000,233000
2024-10-17,245000,235500,246000,235500
2024-10-16,246000,247000,247000,242000
2024-10-15,249500,246000,249500,246000
2024-10-14,250500,248500,254000,248000
2024-10-11,248000,248500,249500,246500
2024-10-10,253000,246000,255500,246000
2024-10-08,244500,246000,247000,244000
2024-10-07,244000,247000,247000,241000
2024-10-04,235500,239500,241500,232000
2024-10-02,237500,237000,241000,236500
2024-09-30,255500,244000,256000,244000
2024-09-27,257500,254500,259000,253500
2024-09-26,250000,259000,259000,247500
2024-09-25,255500,251500,257000,250500
2024-09-24,249000,253000,253000,248000
2024-09-23,251500,249000,251500,246500
2024-09-20,250000,250500,251000,247500
2024-09-19,244000,246000,246500,241500
2024-09-13,237500,237000,240500,234500
2024-09-12,226000,232000,232000,225500
2024-09-11,229500,223500,230500,221500
2024-09-10,229500,231000,231000,227000
2024-09-09,225500,229500,231500,225000
2024-09-06,228000,227500,230500,223000
2024-09-05,236000,229000,237500,227000
2024-09-04,231000,232500,236500,229500
