Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2001-05-29,4430,4640,4430,4640,3511.111084,24280000,3412.739176,3444.521045
2001-05-30,4500,4530,4450,4470,3382.471436,31815000,3420.306478,3409.712598
2001-05-31,4320,4340,4190,4240,3208.428467,63595000,3367.336996,3365.823486
2001-06-01,4300,4300,4210,4240,3208.428467,29315000,3266.44279,3335.555274
2001-06-04,4260,4310,4230,4240,3208.428467,19955000,3208.428467,3303.773584
2001-06-05,4140,4240,4040,4060,3072.222656,51520000,3163.02653,3215.995899
2001-06-06,4060,4060,4060,4060,3072.222656,0,3117.624593,3153.946143
2001-06-07,4080,4310,4080,4280,3238.696777,39865000,3127.71403,3159.999805
2001-06-08,4420,4510,4400,4470,3382.471436,42740000,3231.13029,3194.808398
2001-06-11,4330,4380,4280,4280,3238.696777,24680000,3286.621663,3200.86206
2001-06-12,4220,4300,4210,4220,3193.294922,24195000,3271.487712,3225.076514
2001-06-13,4300,4310,4200,4280,3238.696777,23645000,3223.562825,3258.371338
2001-06-14,4270,4310,4200,4230,3200.862305,27840000,3210.951335,3250.804443
2001-06-15,4190,4200,4120,4190,3170.593994,40870000,3203.384359,3208.428955
2001-06-18,4180,4180,4080,4100,3102.490723,34095000,3157.982341,3181.187744
2001-06-19,4100,4170,4080,4110,3110.057373,31275000,3127.71403,3164.540234
2001-06-20,4060,4070,3990,4000,3026.81958,38515000,3079.789225,3122.164795
2001-06-21,4000,4040,3920,3960,2996.551514,40805000,3044.476156,3081.302637
2001-06-22,3940,3940,3820,3870,2928.447998,44685000,2983.939697,3032.873438
2001-06-25,3840,3930,3800,3870,2928.447998,25925000,2951.14917,2998.064893
2001-06-26,3870,3900,3780,3780,2860.345215,33500000,2905.74707,2948.122461
2001-06-27,3790,3800,3700,3720,2814.942383,40985000,2867.911865,2905.747022
2001-06-28,3700,3790,3690,3750,2837.643799,27040000,2837.643799,2873.965479
2001-06-29,3840,3850,3800,3840,2905.747314,30675000,2852.777832,2869.425342
2001-07-02,3840,3880,3810,3860,2920.880859,23280000,2888.090657,2867.911914
2001-07-03,3900,3910,3870,3890,2943.582031,20305000,2923.403401,2884.559277
2001-07-04,3840,3940,3840,3940,2981.417725,13705000,2948.626872,2917.854346
2001-07-05,3940,3950,3860,3860,2920.880859,15550000,2948.626872,2934.501758
2001-07-06,3740,3770,3650,3670,2777.106934,38020000,2893.135173,2908.773682
2001-07-09,3500,3540,3390,3420,2587.930908,81635000,2761.9729,2842.183691
2001-07-10,3440,3490,3390,3400,2572.796631,32665000,2645.944824,2768.026611
2001-07-11,3280,3410,3280,3380,2557.662598,37970000,2572.796712,2683.275586
2001-07-12,3480,3560,3460,3520,2663.601563,66365000,2598.020264,2631.819727
2001-07-13,3640,3640,3360,3400,2572.796631,46560000,2598.020264,2590.957666
2001-07-16,3370,3390,3260,3340,2527.394531,27910000,2587.930908,2578.850391
2001-07-17,3340,3340,3340,3340,2527.394531,0,2542.528564,2569.769971
2001-07-18,3360,3420,3330,3350,2534.962158,33430000,2529.917073,2565.229883
